E0219 12:35:40.129082 1144781 buffer_comparator.cc:145] Difference at 4103: 0, expected 0.786526
E0219 12:35:40.129088 1144781 buffer_comparator.cc:145] Difference at 4104: 0, expected 0.958815
E0219 12:35:40.129094 1144781 buffer_comparator.cc:145] Difference at 4105: 0, expected 1.16212
2026-02-19 12:35:40.175988: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:40.681770 1144781 buffer_comparator.cc:145] Difference at 4096: 0, expected 1.98029
E0219 12:35:40.681837 1144781 buffer_comparator.cc:145] Difference at 4097: 0, expected 1.2859
E0219 12:35:40.681843 1144781 buffer_comparator.cc:145] Difference at 4098: 0, expected 1.36097
E0219 12:35:40.681849 1144781 buffer_comparator.cc:145] Difference at 4099: 0, expected 2.2036
E0219 12:35:40.681854 1144781 buffer_comparator.cc:145] Difference at 4100: 0, expected 1.1616
E0219 12:35:40.681859 1144781 buffer_comparator.cc:145] Difference at 4101: 0, expected 1.80784
E0219 12:35:40.681864 1144781 buffer_comparator.cc:145] Difference at 4102: 0, expected 1.1474
E0219 12:35:40.681869 1144781 buffer_comparator.cc:145] Difference at 4103: 0, expected 0.786526
E0219 12:35:40.681875 1144781 buffer_comparator.cc:145] Difference at 4104: 0, expected 0.958815
E0219 12:35:40.681880 1144781 buffer_comparator.cc:145] Difference at 4105: 0, expected 1.16212
2026-02-19 12:35:40.729108: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:41.230233 1144781 buffer_comparator.cc:145] Difference at 4112: 0, expected 0.706217
E0219 12:35:41.230289 1144781 buffer_comparator.cc:145] Difference at 4113: 0, expected 1.54924
E0219 12:35:41.230295 1144781 buffer_comparator.cc:145] Difference at 4114: 0, expected 1.24661
E0219 12:35:41.230301 1144781 buffer_comparator.cc:145] Difference at 4115: 0, expected 1.41338
E0219 12:35:41.230306 1144781 buffer_comparator.cc:145] Difference at 4116: 0, expected 1.02787
E0219 12:35:41.230311 1144781 buffer_comparator.cc:145] Difference at 4117: 0, expected 1.28219
E0219 12:35:41.230316 1144781 buffer_comparator.cc:145] Difference at 4118: 0, expected 1.00582
E0219 12:35:41.230321 1144781 buffer_comparator.cc:145] Difference at 4119: 0, expected 1.54663
E0219 12:35:41.230326 1144781 buffer_comparator.cc:145] Difference at 4120: 0, expected 1.38348
E0219 12:35:41.230331 1144781 buffer_comparator.cc:145] Difference at 4121: 0, expected 0.681785
2026-02-19 12:35:41.277198: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:41.813823 1144781 buffer_comparator.cc:145] Difference at 4112: 0, expected 0.706217
E0219 12:35:41.813897 1144781 buffer_comparator.cc:145] Difference at 4113: 0, expected 1.54924
E0219 12:35:41.813905 1144781 buffer_comparator.cc:145] Difference at 4114: 0, expected 1.24661
E0219 12:35:41.813911 1144781 buffer_comparator.cc:145] Difference at 4115: 0, expected 1.41338
E0219 12:35:41.813917 1144781 buffer_comparator.cc:145] Difference at 4116: 0, expected 1.02787
E0219 12:35:41.813923 1144781 buffer_comparator.cc:145] Difference at 4117: 0, expected 1.28219
E0219 12:35:41.813929 1144781 buffer_comparator.cc:145] Difference at 4118: 0, expected 1.00582
E0219 12:35:41.813935 1144781 buffer_comparator.cc:145] Difference at 4119: 0, expected 1.54663
E0219 12:35:41.813941 1144781 buffer_comparator.cc:145] Difference at 4120: 0, expected 1.38348
